제작사,차명,대수,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
미쓰비시자동차,랜서에볼루션,48,2009-09-11,2010-09-02,2015-08-17,"ETACS 전자제어장치내의 전기 부품의 저항 증가시 전조등이 소등될 수 있고 전면 창유리 와이퍼가 작동하지 않을 수 도 있음, 불로우 모터의 샤프트와 베어링이 고착되어 블로우 모터가 정지되어 전면창유리 습기 제거가 되지 않을 가능성"
미쓰비시자동차,아웃랜더(CW5W),102,2010-02-12,2010-06-10,2015-08-17,"ETACS 전자제어장치내의 전기 부품의 저항 증가시 전조등이 소등될 수 있고 전면 창유리 와이퍼가 작동하지 않을 수 도 있음, 불로우 모터의 샤프트와 베어링이 고착되어 블로우 모터가 정지되어 전면창유리 습기 제거가 되지 않을 가능성"
미쓰비시자동차,아웃랜더(CW6W),79,2010-02-12,2010-08-06,2015-08-17,"ETACS 전자제어장치내의 전기 부품의 저항 증가시 전조등이 소등될 수 있고 전면 창유리 와이퍼가 작동하지 않을 수 도 있음, 불로우 모터의 샤프트와 베어링이 고착되어 블로우 모터가 정지되어 전면창유리 습기 제거가 되지 않을 가능성"
미쓰비시자동차,이클립스,120,2008-09-16,2008-12-18,2015-09-18,ABS제어장치(모듈레이터)에 부식이 발생하여 브레이크 성능이 저하될 수 있어 안전운행에 지장 
볼보그룹코리아_트럭, FH 6x4 트랙터,4,2014-02-04,2014-10-06,2015-03-16,주차 브레이크 호스와 연결되는 브레이크 챔버 니쁠 체결이 분리되어 브레이크 챔버 내의 주차 브레이크 해제 상태를 유지해 주는 공기압이 빠짐으로서 주차 브레이크가 상시 체결되어 차량 주행 성능의 저하를 초래 할 수 있음
볼보그룹코리아_트럭, FM 6x4 카고트럭/트랙터,76,2014-02-04,2014-10-06,2015-03-16,주차 브레이크 호스와 연결되는 브레이크 챔버 니쁠 체결이 분리되어 브레이크 챔버 내의 주차 브레이크 해제 상태를 유지해 주는 공기압이 빠짐으로서 주차 브레이크가 상시 체결되어 차량 주행 성능의 저하를 초래 할 수 있음
볼보그룹코리아_트럭,FH 8*4 카고 외 6차종,36,2014-09-09,2015-04-10,2015-05-29,캐빈 캡?팅 실린더 하단 볼트의 과다 조임으로 볼트가 파손된어 캐빈 틸팅시 앞으로 기울어 캐빈 파손 우려
볼보그룹코리아_트럭,큐온 6*4 카고트럭,5,2014-02-03,2014-02-28,2015-05-29,허브베어링이 주행 중 열이나 연기가 발생하여 예상치 못한 차량 정지 진동 소음이 발생하여 안전운행에 지장 가능성
볼보그룹코리아_트럭,FH,73,2014-11-11,2015-04-10,2015-08-28,앞차축 스프링 U볼트 체결토크가 설계치 보다 작게 체결되어 앞차축이 느슨해져 안전운행에 지장을 줄 가능성
볼보그룹코리아_트럭,FM,38,2014-11-11,2015-04-10,2015-08-28,앞차축 스프링 U볼트 체결토크가 설계치 보다 작게 체결되어 앞차축이 느슨해져 안전운행에 지장을 줄 가능성
볼보그룹코리아_트럭,FH,16,2010-04-19,2011-01-19,2015-10-26,주행중 피견인 자동차의 브레이크 에어라인 누기 상황에서 비상 백업용 브레이크의 반응 소요시간이 설계기준 및 국내 자동차안전기준 초과
볼보그룹코리아_트럭,FM,6,2010-04-19,2011-01-19,2015-10-26,주행중 피견인 자동차의 브레이크 에어라인 누기 상황에서 비상 백업용 브레이크의 반응 소요시간이 설계기준 및 국내 자동차안전기준 초과
볼보자동차코리아,XC90,90,2008-09-22,2009-10-20,2015-07-27,"파워스티어링 호스가 고정이 잘 되지 않아, 엔진룸 내 쿨링팬과 직접적인 마찰이 발생하여 조향 능력이 떨어져 안전운행 저하"
볼보자동차코리아,S80,18,2015-04-17,2015-08-09,2015-09-24,Stop&Start 기능이 작동된 상태에서 주행 중 엔진 시동장치(모터)의 퓨즈가 끊어져 정차시 재시동이 되지않아 안전운행에 지장을 줄 가능성
볼보자동차코리아,S60,12,2015-04-09,2015-08-13,2015-09-24,Stop&Start 기능이 작동된 상태에서 주행 중 엔진 시동장치(모터)의 퓨즈가 끊어져 정차시 재시동이 되지않아 안전운행에 지장을 줄 가능성
볼보자동차코리아,S60,1181,2000-08-16,2005-02-01,2015-10-26,연료펌프 상단부분에서 연료가 누유되어 엔진화재 발생 가능성
볼보자동차코리아,S80,1933,2000-05-24,2005-02-04,2015-10-26,연료펌프 상단부분에서 연료가 누유되어 엔진화재 발생 가능성
볼보자동차코리아,XC90,457,2003-03-19,2005-02-01,2015-10-26,연료펌프 상단부분에서 연료가 누유되어 엔진화재 발생 가능성
볼보자동차코리아,XC70,282,2000-11-16,2004-08-02,2015-10-26,연료펌프 상단부분에서 연료가 누유되어 엔진화재 발생 가능성
볼보자동차코리아,VC70,24,2000-12-04,2003-12-03,2015-10-26,연료펌프 상단부분에서 연료가 누유되어 엔진화재 발생 가능성
볼보자동차코리아,S60,2,2015-08-28,2015-09-25,2015-12-01,엔진 크랭크축 제작결함으로 인해 시동꺼짐 및 재시동 불가 등이 발생하여 안전운행에 지장을 줄 가능성
볼보자동차코리아,S60CC,1,2015-09-15,2015-09-15,2015-12-01,엔진 크랭크축 제작결함으로 인해 시동꺼짐 및 재시동 불가 등이 발생하여 안전운행에 지장을 줄 가능성
볼보자동차코리아,V60CC,1,2015-09-03,2015-09-22,2015-12-01,엔진 크랭크축 제작결함으로 인해 시동꺼짐 및 재시동 불가 등이 발생하여 안전운행에 지장을 줄 가능성
볼보자동차코리아,XC60,1,2015-08-28,2015-09-29,2015-12-01,엔진 크랭크축 제작결함으로 인해 시동꺼짐 및 재시동 불가 등이 발생하여 안전운행에 지장을 줄 가능성
비엠더블유코리아,316i,1,2003-03-20,2003-03-20,2015-01-30,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. "
비엠더블유코리아,318i,1087,1999-09-06,2004-10-26,2015-01-30,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. "
비엠더블유코리아,320i,1545,1999-09-02,2004-10-28,2015-01-30,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. "
비엠더블유코리아,323i,1,2000-02-17,2000-02-17,2015-01-30,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. "
비엠더블유코리아,323Ci,1,2000-05-23,2000-05-23,2015-01-30,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. "
비엠더블유코리아,325i,367,2000-08-31,2004-11-11,2015-01-30,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. "
비엠더블유코리아,325Ci,314,2000-09-29,2006-01-31,2015-01-30,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. "
비엠더블유코리아,325Xi,106,2003-01-10,2004-02-25,2015-01-30,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. "
비엠더블유코리아,328i,1,2000-04-08,2000-04-08,2015-01-30,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. "
비엠더블유코리아,330i,211,2000-06-08,2004-02-20,2015-01-30,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. "
비엠더블유코리아,330Ci,43,2000-09-29,2004-01-23,2015-01-30,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. "
비엠더블유코리아,330Xi,1,2003-04-29,2003-04-29,2015-01-30,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. "
비엠더블유코리아,M3,122,2001-03-05,2005-07-27,2015-01-30,"조수석 장착된 에어백 모듈 내 압축가스 추진체 결함으로 조수석 에어백 내 에어백 가스발생장치가 부적합한 압축력으로 생산라인에 적용되어 가스발생장치 내 압축가스 추진체가 장시간 고온 다습한 환경에 노출 될 경우, 압축가스 추진체 성능이 저하되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 과도한 내부압력생성으로 에어백 전개 시 에어백 가스발생장치 하우징이 파열되어 차내 탑승자들의 부상의 위험을 배제할 수 없습니다. "
비엠더블유코리아,328i(3A63),1,2012-06-20,2012-06-22,2015-01-30,엔진 흡기 캠샤프트 내 오일공급회로 제작 결함으로 브레이크 페달이 딱딱해질 수 있음
비엠더블유코리아,320i,62,2012-06-06,2013-06-06,2015-01-30,엔진 흡기 캠샤프트 내 오일공급회로 제작 결함으로 브레이크 페달이 딱딱해질 수 있음
비엠더블유코리아,328i(3C21),20,2012-06-15,2012-10-16,2015-01-30,엔진 흡기 캠샤프트 내 오일공급회로 제작 결함으로 브레이크 페달이 딱딱해질 수 있음
비엠더블유코리아,528i,181,2012-06-21,2013-02-28,2015-01-30,엔진 흡기 캠샤프트 내 오일공급회로 제작 결함으로 브레이크 페달이 딱딱해질 수 있음
비엠더블유코리아,528i Xdrive,44,2012-06-20,2013-02-14,2015-01-30,엔진 흡기 캠샤프트 내 오일공급회로 제작 결함으로 브레이크 페달이 딱딱해질 수 있음
비엠더블유코리아,Z4 28i,2,2012-07-27,2012-09-17,2015-01-30,엔진 흡기 캠샤프트 내 오일공급회로 제작 결함으로 브레이크 페달이 딱딱해질 수 있음
비엠더블유코리아,MINI Cooper,499,2014-03-04,2014-09-16,2015-03-20,스페어 타이어를 고정해 주는 덮개 너트의 결함으로 인하여 타이어가 차량으로부터 이탈될 가능성 발견
비엠더블유코리아,MINI Cooper D,453,2014-01-13,2014-09-13,2015-03-20,스페어 타이어를 고정해 주는 덮개 너트의 결함으로 인하여 타이어가 차량으로부터 이탈될 가능성 발견
비엠더블유코리아,MINI Cooper,83,2014-08-12,2014-09-10,2015-03-20,시트 등받이 조정장치 안의 기어 체결 불량
비엠더블유코리아,MINI Cooper D,201,2014-08-12,2014-09-29,2015-03-20,시트 등받이 조정장치 안의 기어 체결 불량
비엠더블유코리아,MINI Cooper S,18,2014-08-21,2014-09-03,2015-03-20,시트 등받이 조정장치 안의 기어 체결 불량
비엠더블유코리아,320i Sedan,1,2014-09-27,2014-09-27,2015-03-20,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견
비엠더블유코리아,320d Sedan,9,2014-09-23,2014-10-20,2015-03-20,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견
비엠더블유코리아,320d Xdrive sedan,42,2014-09-22,2014-09-30,2015-03-20,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견
비엠더블유코리아,320d Sedan Efficient Dynamics E,100,2014-09-22,2014-09-27,2015-03-20,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견
비엠더블유코리아,320d Gran Turismo,52,2014-09-11,2014-09-22,2015-03-20,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견
비엠더블유코리아,320d Xdrive Gran Turismo,52,2014-09-15,2014-10-06,2015-03-20,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견
비엠더블유코리아,420d Gran Coupe,14,2014-09-24,2014-10-13,2015-03-20,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견
비엠더블유코리아,420d Xdrive Gran Coupe,6,2014-09-24,2014-10-18,2015-03-20,조수석 시트벨트가 당겨지지 않을 가능성은 적으나 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견
비엠더블유코리아,535i,14,2013-01-30,2013-06-29,2015-05-29,후부반사기 반사성능 안전기준 위반
비엠더블유코리아,535i xDrive,30,2013-01-30,2013-06-29,2015-05-29,후부반사기 반사성능 안전기준 위반
비엠더블유코리아,528i,488,2013-01-30,2013-06-29,2015-05-29,후부반사기 반사성능 안전기준 위반
비엠더블유코리아,528i xDrive,679,2013-01-30,2013-06-29,2015-05-29,후부반사기 반사성능 안전기준 위반
비엠더블유코리아,520d,1986,2013-01-30,2013-06-29,2015-05-29,후부반사기 반사성능 안전기준 위반
비엠더블유코리아,525d xDrive,149,2013-01-30,2013-06-29,2015-05-29,후부반사기 반사성능 안전기준 위반
비엠더블유코리아,525d,54,2013-01-30,2013-06-29,2015-05-29,후부반사기 반사성능 안전기준 위반
비엠더블유코리아,320i Sedan,91,2013-09-18,2014-03-06,2015-07-31,저압 연료펌프 내 코팅 불량으로 인하여 모터 회전 시 마찰력 증가로 연료펌프 작동이 원활하게 되지 않아 시동 불가 및 시동이 꺼질 가능성
비엠더블유코리아,328i Sedan,3,2013-12-02,2013-12-07,2015-07-31,저압 연료펌프 내 코팅 불량으로 인하여 모터 회전 시 마찰력 증가로 연료펌프 작동이 원활하게 되지 않아 시동 불가 및 시동이 꺼질 가능성
비엠더블유코리아,420i Coupe,16,2013-11-26,2014-03-03,2015-07-31,저압 연료펌프 내 코팅 불량으로 인하여 모터 회전 시 마찰력 증가로 연료펌프 작동이 원활하게 되지 않아 시동 불가 및 시동이 꺼질 가능성
비엠더블유코리아,428i Coupe,26,2013-09-13,2013-12-19,2015-07-31,저압 연료펌프 내 코팅 불량으로 인하여 모터 회전 시 마찰력 증가로 연료펌프 작동이 원활하게 되지 않아 시동 불가 및 시동이 꺼질 가능성
비엠더블유코리아,428i Convertible,83,2013-11-26,2013-12-16,2015-07-31,저압 연료펌프 내 코팅 불량으로 인하여 모터 회전 시 마찰력 증가로 연료펌프 작동이 원활하게 되지 않아 시동 불가 및 시동이 꺼질 가능성
비엠더블유코리아,320i,3,2014-12-10,2014-12-11,2015-07-31,조수석 시트벨트가 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견
비엠더블유코리아,320d,155,2014-12-08,2014-12-12,2015-07-31,조수석 시트벨트가 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견
비엠더블유코리아,320d xDdrive,35,2014-12-09,2014-12-11,2015-07-31,조수석 시트벨트가 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견
비엠더블유코리아,320d EDE,32,2014-12-08,2014-12-12,2015-07-31,조수석 시트벨트가 외부 요인(외부온도저하)으로 인해 시트벨트가 당겨지지 않을 가능성 발견
비엠더블유코리아,118d,1545,2012-06-11,2013-06-29,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,120d,1313,2008-03-04,2013-06-27,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,320d,12638,2008-04-24,2013-06-28,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,320d GT,304,2013-02-26,2013-06-29,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,320d Touring,476,12/16/18,2013-06-28,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,420 Coupe,52,2013-06-27,2013-06-28,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,520d,23739,2008-04-15,2013-06-20,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,520d GT,1321,2012-06-21,2013-06-26,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,520d Touring,242,2011-11-23,2013-06-20,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,X1 18d,2730,2009-12-22,2013-06-28,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,X3 20d,4486,2007-11-13,2013-06-28,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,MINI Cooper D,2674,2011-11-07,2013-06-26,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,MINI Cooper D Clubman,77,2012-06-14,2013-05-31,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,MINI Cooper D Countryman,2411,2012-03-01,2013-06-29,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,MINI Cooper D Countryman ALL4,316,2012-02-09,2013-06-29,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,MINI Cooper D Paceman,232,2012-11-21,2013-06-27,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,MINI Cooper D Paceman ALL4,43,2012-11-22,2013-06-28,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,MINI Cooper SD,522,2011-11-05,2013-06-24,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,MINI Cooper SD Clubman,49,2012-06-19,2013-05-08,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,MINI Cooper SD Countryman,277,2012-02-29,2013-06-29,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,MINI Cooper SD Countryman ALL4,122,2012-02-09,2013-06-26,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,MINI Cooper SD Coupe,51,2012-06-19,2012-11-29,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,MINI Cooper SD Paceman,61,2012-11-20,2013-06-25,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,MINI Cooper SD Paceman ALL4,31,2012-10-29,2013-06-28,2015-09-24,타이밍 체인 텐셔너의 기능이 원활하게 작동하지 못하여 드문경우 시동이 꺼질 가능성
비엠더블유코리아,Active Tourer,25,2014-10-30,2014-12-04,2015-09-24,조수석 좌석안전띠를 구성하는 내부 부품의 제작불량으로 외부온도가 0도 이하일 때 좌석안전띠가 완전히 당겨지지 않아 착용이 어려울 수 있는 가능성
비엠더블유코리아,Active Tourer,83,2015-04-21,2015-08-03,2015-12-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성
비엠더블유코리아,i3,19,2014-10-27,2015-05-05,2015-12-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성
비엠더블유코리아,MINI Cooper Clubman,4,2015-08-13,2015-08-19,2015-12-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성
비엠더블유코리아,MINI Cooper,53,2015-04-07,2015-08-25,2015-12-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성
비엠더블유코리아,MINI Cooper 5 door,65,2015-04-07,2015-08-11,2015-12-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성
비엠더블유코리아,MINI Cooper D Clubman,1,2015-07-30,2015-07-30,2015-12-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성
비엠더블유코리아,MINI Cooper D,41,2015-07-08,2015-08-27,2015-12-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성
비엠더블유코리아,MINI Cooper D 5door,95,2015-04-09,2015-08-17,2015-12-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성
비엠더블유코리아,MINI Cooper S Clubman,9,2015-07-17,2015-08-19,2015-12-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성
비엠더블유코리아,MINI Cooper S,11,2015-07-08,2015-07-31,2015-12-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성
비엠더블유코리아,MINI Cooper S 5 door,37,2014-07-20,2015-08-06,2015-12-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성
비엠더블유코리아,MINI Cooper SD,3,2014-07-02,2015-07-15,2015-12-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성
비엠더블유코리아,MINI John Cooper Works,11,2015-04-21,2015-07-23,2015-12-23,앞 우측 에어백(조수석)의 제작결함(인플레인터 용접 불량)이 발생하여 에어백 작동시 전개속도가 느려져 에어백 기능이 제대로 되지 않을 가능성
비엠더블유코리아,롤스로이스 팬텀 2,3,2015-07-09,2015-09-15,2015-12-23,사이드 커튼 에어백의 조립불량으로 에어백 작동시 에어백 미전개 가능성
