제작사,차명,생산시작,생산종료,리콜사유,대수,제조사,리콜일
GM코리아,캐딜락CTS(AWD),13.08.09,14.02.26,차량 방전 시 와이퍼 ON상태에서 점프시동을 하거나 또는 얼음이나 눈 등으로 인해 와이퍼가 고착되어 있는 상태에서 와이퍼를 작동시키는 경우 와이퍼 모듈에 불안정한 전압이 공급되는 경우 발생,NA,지엠대우,2014-06-16
GM코리아,캐딜락ATS,12.08.16,13.03.09,"변속케이블이 고정용 브라켓에 정확히 장착되어 있지 않은 경우 기어를 원하는 위치로 움직일 수 없거나 또는 ""P""위치로 이동 불가, 기어가 주차 위치에 들어가지 않은채 하차할 경우 차량이 움직여 충돌사로 이어질 수 있음",NA,지엠대우,2014-07-07
GM코리아,캐딜락CTS,13.08.09,14.03.10,"변속케이블이 고정용 브라켓에 정확히 장착되어 있지 않은 경우 기어를 원하는 위치로 움직일 수 없거나 또는 ""P""위치로 이동 불가, 기어가 주차 위치에 들어가지 않은채 하차할 경우 차량이 움직여 충돌사로 이어질 수 있음",NA,지엠대우,2014-07-07
GM코리아,캐딜락ATS,12.08.16,13.04.17,전방 시트 좌우를 고정하는 시트프레임 브라켓의 용접불량,NA,지엠대우,2014-08-11
GM코리아,캐딜락CTS,13.08.09,13.012.11,전방 시트 좌우를 고정하는 시트프레임 브라켓의 용접불량,NA,지엠대우,2014-08-11
GM코리아,캐딜락CTS,10.12.22,12.12.6,"차량 키에 액세서리나 무거운 물체를 매달어 사용하는 경우, 오프로드 주행시, 차가 덜거덕 거릴 때 또는 무릅으로 키를 칠때, 키가 RUN 위치에서 다른 위치(액세서리 전원 또는 OFF)로 돌아감",NA,지엠대우,2014-09-01
GM코리아,캐딜락CTS,02.05.10,11.11.23,"차량 키에 액세서리나 무거운 물체를 매달어 사용하는 경우, 오프로드 주행시, 차가 덜거덕 거릴 때 또는 무릅으로 키를 칠때, 키가 RUN 위치에서 다른 위치(액세서리 전원 또는 OFF)로 돌아감",NA,지엠대우,2014-10-06
GM코리아,캐딜락SRX,03.11.24,06.03.23,"차량 키에 액세서리나 무거운 물체를 매달어 사용하는 경우, 오프로드 주행시, 차가 덜거덕 거릴 때 또는 무릅으로 키를 칠때, 키가 RUN 위치에서 다른 위치(액세서리 전원 또는 OFF)로 돌아감",NA,지엠대우,2014-10-06
GM코리아,캐딜락드빌DHC,99.08.09,05.02.14,"차량 키에 액세서리나 무거운 물체를 매달어 사용하는 경우, 오프로드 주행시, 차가 덜거덕 거릴 때 또는 무릅으로 키를 칠때, 키가 RUN 위치에서 다른 위치(액세서리 전원 또는 OFF)로 돌아감",NA,지엠대우,2014-10-06
GM코리아,캐딜락DTS,05.10.28,10.10.26,"차량 키에 액세서리나 무거운 물체를 매달어 사용하는 경우, 오프로드 주행시, 차가 덜거덕 거릴 때 또는 무릅으로 키를 칠때, 키가 RUN 위치에서 다른 위치(액세서리 전원 또는 OFF)로 돌아감",NA,지엠대우,2014-10-06
GM코리아,캐딜락 SRX,09.06.30,14.08.07,뒤 서스펜션 토우 조정 링크의 고정 너트가 규정 토크에 미달되게 조립됨,NA,지엠대우,2014-10-20
GM코리아,캐딜락 ATS,12.08.16,13.03.19,에어백 전개 시 프리텐셔너가 상시 상황보다 안전벨트를 더 잡아 당긴 후 이 잠김 상태를 유지함으로써 승객을 보호하도록 되어 있으나 일부 차량에서 이 프리텐셔너 케이블이 잠김 상태를 유지하지 않고 정상 상태로 되돌아 가는 문제 발생,NA,지엠대우,2014-11-28
GM코리아,캐딜락 CTS,13.12.05,14.04.17,트렁크에 무거운 화물을 적재시 헤드램프의 자동높이 조절기능이 정상작동하지 않을 수 있음,NA,지엠대우,2014-12-08
미쓰비시자동차,L200,12.1,12.12,"프론트 전동시트 리클라이닝 레버 형상 불량으로 리클라이닝 스위치 레버가 고착될 가능성이 있어 지속적인 통전으로 모터의 소손보호 회로가 손상될 경우, 모터의 손상 및 시트 주변의 푸품의 연소 발생 가능성
프론트 로우암 용접 불량으로 주행중에 진동이나 노면충격등으로 인해 해당 용접 부위가 파손될 경우 주행안정성의 문제가 발생될수 있음",NA,미쓰비시,2014-07-01
미쓰비시자동차,"RVR(2WD,4WD)",11.10,12.8,"무선시동장치의 전자제어장치에서 오작동 발생 가능성있음. 오작동 및 작동정지 원인은 전자제어장치내 리셋IC 제조불량으로 극저온에서 오작동되어 엔진시동 부량, 도어개폐 불량, 시동전 운전대의 고정 및 해제불가능등이 발생될 수 있음",NA,미쓰비시,2014-07-01
미쓰비시자동차,아웃랜더 3.0L,12.2,12.5,"변속기 오일 씰 장착부의 가공 불량으로 오일 씰이 빠질 가능성 있으며, 이 경우 변속기 오일이 트랜스퍼로 넘치게 되어 기어 변속이 잘되지 않거나 오일 부족으로 엔진경고등이 점등되는 문제가 발생될 수 있고 최악의 경우 차량이 움직이지 않을 수도 있음",NA,미쓰비시,2014-09-05
미쓰비시자동차,랜서(CY4A),08.11.20,10.11.1,엔진의 V자형 드라이브 벨트의 소재 불량으로 인하여 레진으로 제작된 풀리가 경사지게 마모됡 가능성이 있으며 지속될 경우 벗겨져 배터리 방전 또는 엔진과열 가능성이 있고 유압식 조향장치 적용 차량의 경우 조향력이 증가 될수 있음,NA,미쓰비시,2014-12-01
미쓰비시자동차,랜서(CY4A-1),10.01.13,10.03.10,엔진의 V자형 드라이브 벨트의 소재 불량으로 인하여 레진으로 제작된 풀리가 경사지게 마모됡 가능성이 있으며 지속될 경우 벗겨져 배터리 방전 또는 엔진과열 가능성이 있고 유압식 조향장치 적용 차량의 경우 조향력이 증가 될수 있음,NA,미쓰비시,2014-12-01
미쓰비시자동차,랜서에볼루션,08.08.27,10.10.01,엔진의 V자형 드라이브 벨트의 소재 불량으로 인하여 레진으로 제작된 풀리가 경사지게 마모됡 가능성이 있으며 지속될 경우 벗겨져 배터리 방전 또는 엔진과열 가능성이 있고 유압식 조향장치 적용 차량의 경우 조향력이 증가 될수 있음,NA,미쓰비시,2014-12-01
미쓰비시자동차,아웃랜더,10.02.12,10.06.10,엔진의 V자형 드라이브 벨트의 소재 불량으로 인하여 레진으로 제작된 풀리가 경사지게 마모됡 가능성이 있으며 지속될 경우 벗겨져 배터리 방전 또는 엔진과열 가능성이 있고 유압식 조향장치 적용 차량의 경우 조향력이 증가 될수 있음,NA,미쓰비시,2014-12-01
미쓰비시자동차,아웃랜더,09년 전체,NA,제동등 스위치를 조립하는 작업자의 부주의로 윤활 구리스가 묻은 장갑을 착용한 상태로 제동등 스위치를 조립하여 구리스가 침투하면 절연제로 작용할 수 있어 제동등이 점등이 되지 않을수 있으며 경우에 따라 ㅔ제동등 스위치가 켜지지 않을 때 변속레버가 주차위치에서 움직이지 않을 수 있음,NA,미쓰비시,2014-11-15
메르세데스벤츠코리아,SLK200,14.03.19,14.05.05,동반석 앞 에어백 모듈에서 가스 확산기를 에어백 하우징에 고정시키는 고정 장치가 가스확산기 프레임에 정상적으로 고정되어 있지 않을 수 있음,NA,다임러벤츠,2014-08-14
메르세데스벤츠코리아,SLK55 AMG,14.03.19,14.05.05,동반석 앞 에어백 모듈에서 가스 확산기를 에어백 하우징에 고정시키는 고정 장치가 가스확산기 프레임에 정상적으로 고정되어 있지 않을 수 있음,NA,다임러벤츠,2014-08-14
메르세데스벤츠코리아,SL63 AMG,14.03.19,14.05.05,동반석 앞 에어백 모듈에서 가스 확산기를 에어백 하우징에 고정시키는 고정 장치가 가스확산기 프레임에 정상적으로 고정되어 있지 않을 수 있음,NA,다임러벤츠,2014-08-14
메르세데스벤츠코리아,C200CGI,07.01.26,11.07.13,"뒤 테일 램프의 접지 핀 커넥터의 산화로 인하여 테일램프가 어두워 지거나 작동하지 않을 수 있으며, 뒤테일 램프가 작동하지 않을 경우 해당 자동차의 후면 가시성을 낮추게 함",NA,다임러벤츠,2014-10-02
메르세데스벤츠코리아,C200K,07.01.26,11.07.13,"뒤 테일 램프의 접지 핀 커넥터의 산화로 인하여 테일램프가 어두워 지거나 작동하지 않을 수 있으며, 뒤테일 램프가 작동하지 않을 경우 해당 자동차의 후면 가시성을 낮추게 함",NA,다임러벤츠,2014-10-02
메르세데스벤츠코리아,C220CDI(204002),07.01.26,11.07.13,"뒤 테일 램프의 접지 핀 커넥터의 산화로 인하여 테일램프가 어두워 지거나 작동하지 않을 수 있으며, 뒤테일 램프가 작동하지 않을 경우 해당 자동차의 후면 가시성을 낮추게 함",NA,다임러벤츠,2014-10-02
메르세데스벤츠코리아,C220CDI(204008),07.01.26,11.07.13,"뒤 테일 램프의 접지 핀 커넥터의 산화로 인하여 테일램프가 어두워 지거나 작동하지 않을 수 있으며, 뒤테일 램프가 작동하지 않을 경우 해당 자동차의 후면 가시성을 낮추게 함",NA,다임러벤츠,2014-10-02
메르세데스벤츠코리아,"C230,250",07.01.26,11.07.13,"뒤 테일 램프의 접지 핀 커넥터의 산화로 인하여 테일램프가 어두워 지거나 작동하지 않을 수 있으며, 뒤테일 램프가 작동하지 않을 경우 해당 자동차의 후면 가시성을 낮추게 함",NA,다임러벤츠,2014-10-02
메르세데스벤츠코리아,"C280,300",07.01.26,11.07.13,"뒤 테일 램프의 접지 핀 커넥터의 산화로 인하여 테일램프가 어두워 지거나 작동하지 않을 수 있으며, 뒤테일 램프가 작동하지 않을 경우 해당 자동차의 후면 가시성을 낮추게 함",NA,다임러벤츠,2014-10-02
메르세데스벤츠코리아,"C280,300 4MATIC",07.01.26,11.07.13,"뒤 테일 램프의 접지 핀 커넥터의 산화로 인하여 테일램프가 어두워 지거나 작동하지 않을 수 있으며, 뒤테일 램프가 작동하지 않을 경우 해당 자동차의 후면 가시성을 낮추게 함",NA,다임러벤츠,2014-10-02
메르세데스벤츠코리아,C350,07.01.26,11.07.13,"뒤 테일 램프의 접지 핀 커넥터의 산화로 인하여 테일램프가 어두워 지거나 작동하지 않을 수 있으며, 뒤테일 램프가 작동하지 않을 경우 해당 자동차의 후면 가시성을 낮추게 함",NA,다임러벤츠,2014-10-02
메르세데스벤츠코리아,C63 AMG,07.01.26,11.07.13,"뒤 테일 램프의 접지 핀 커넥터의 산화로 인하여 테일램프가 어두워 지거나 작동하지 않을 수 있으며, 뒤테일 램프가 작동하지 않을 경우 해당 자동차의 후면 가시성을 낮추게 함",NA,다임러벤츠,2014-10-02
메르세데스벤츠코리아,C200,13.12.13,14.09.12,스티어링 커플링 체결 장치가 정상적으로 체결되지 예방적인 조치로 스티어링 커플링 잠금장치,NA,다임러벤츠,2014-10-10
메르세데스벤츠코리아,C220 BLUETEC,13.12.13,14.09.12,스티어링 커플링 체결 장치가 정상적으로 체결되지 예방적인 조치로 스티어링 커플링 잠금장치,NA,다임러벤츠,2014-10-10
메르세데스벤츠코리아,C250 BLUETEC 4MATIC,13.12.13,14.09.12,스티어링 커플링 체결 장치가 정상적으로 체결되지 예방적인 조치로 스티어링 커플링 잠금장치,NA,다임러벤츠,2014-10-10
메르세데스벤츠코리아,A200 CDI,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,B200 CDI,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,C220 BLUETEC,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,C220 CDI COUPE,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,C250 BLUETEC 4MATIC,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,CLA200 CDI,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,CLS250 BLUETEC 4MATIC,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,CLS250 CDI,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,E220 BLUETEC,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,E220 CDI,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,E250 BLUETEC 4MATIC,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,E250 CDI 4MATIC,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,E300 BLUETEC HYBRID,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,GLA200 CDI,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,GLA200 CDI 4MATIC,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,GLK220 CDI 4MATIC,14.02.28,14.11.10,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,NA,다임러벤츠,2014-12-29
메르세데스벤츠코리아,C220 BLUETEC,14.05.21,14.10.21,차량이 일정 거리를 주행한 이후 컨트롤 유닛 내부 이상으로 인해 전동식 파워 스티어링 조향 보조 기능이 비활성화 될 수 있음,NA,다임러벤츠,2014-12-29
(주)오토젠,쉐보레익스프레스,09.01.16,14.08.19,차량의 전면 충돌 시 안전벨트 미 착용 조수석 승객의 머리가 에어백이 위치한 인스트루먼트패널 상단 부위와 충돌 할 경우 상행가 발생할 수 있음,NA,기타,2014-10-13
락락모터스,쉐보레익스프레스(GMC 사바나),10.05.01,14.10.31,조수석 인스트루먼트 패널 상단부의 충격흡수 부분이 충분히 두껍지 못함,NA,스타크래프트밴,2014-11-20
락락모터스,쉐보레익스프레스(GMC 사바나),10.05.01,14.10.31,조수석 인스트루먼트 패널 상단부의 충격흡수 부분이 충분히 두껍지 못함,NA,스타크래프트밴,2014-11-20
스즈키씨엠씨,UM125,2013,NA,연료필터 파손으로 인한 연료누설로 인하여 주행 중 엔진시동이 꺼질 수 있음,NA,스즈키,2014-01-10
스즈키씨엠씨,GSX-R1000/Z,05,13,브레이크 마스터 실린더의 피스톤이 불충분한 표면처리로 인하여 피스톤과 리턴스프링 사이에 부식발생,NA,스즈키,2014-01-10
스즈키씨엠씨,GSX-R750,"04,06",12,브레이크 마스터 실린더의 피스톤이 불충분한 표면처리로 인하여 피스톤과 리턴스프링 사이에 부식발생,NA,스즈키,2014-01-10
스즈키씨엠씨,GSX-R600,04,13,브레이크 마스터 실린더의 피스톤이 불충분한 표면처리로 인하여 피스톤과 리턴스프링 사이에 부식발생,NA,스즈키,2014-01-10
스즈키씨엠씨,GSX-R1000/Z,09,14,체인 어저스터의 구조적 결함으로 인하여 작동시 발생되는 저항을 완벽하게 견디지 못해 체인 어져스터 조절 볼트 접점 부위에 변형외 발생됨,NA,스즈키,2014-11-10
스즈키씨엠씨,GSX-R750,11,12,체인 어저스터의 구조적 결함으로 인하여 작동시 발생되는 저항을 완벽하게 견디지 못해 체인 어져스터 조절 볼트 접점 부위에 변형외 발생됨,NA,스즈키,2014-11-10
비엠더블유코리아,F800S,06.6.5,08.12.12,"오랜 주행후 후륜의 유격이 커지거나, 구동장치의 베어링이 과도하게 마모되어 뒷바퀴의 안정적인 휠 회전에 문제를 줄수 있음",NA,BMW,2014-02-21
비엠더블유코리아,F801ST,06.8.18,08.11.25,"오랜 주행후 후륜의 유격이 커지거나, 구동장치의 베어링이 과도하게 마모되어 뒷바퀴의 안정적인 휠 회전에 문제를 줄수 있음",NA,BMW,2014-02-21
비엠더블유코리아,R1200GS,13.3.4,13.3.12,엔드로 프로모드의 간섭이 오토매틱 스태빌리티 컨트롤의 고유 기능을 방해하여 차량이 미끄러질 수 있음,NA,BMW,2014-04-11
비엠더블유코리아,C600SPORT,12.11.30,13.4.12,사이드 스탠드 스위치의 체결 부위에 물이 스며들 수 있어 스위치가 오동작 할 수 있음,NA,BMW,2014-04-11
비엠더블유코리아,C650GT,12.11.29,13.6.14,사이드 스탠드 스위치의 체결 부위에 물이 스며들 수 있어 스위치가 오동작 할 수 있음,NA,BMW,2014-04-11
비엠더블유코리아,R1200R,12.12.6,13.08.19,사이드 스탠드 스위치의 체결 부위에 물이 스며들 수 있어 스위치가 오동작 할 수 있음,NA,BMW,2014-04-11
비엠더블유코리아,R1200GS,13.08.19,13.09.11,사이드 스탠드 스위치의 체결 부위에 물이 스며들 수 있어 스위치가 오동작 할 수 있음,NA,BMW,2014-04-11
비엠더블유코리아,F700GS,13.02.21,13.08.28,사이드 스탠드 스위치의 체결 부위에 물이 스며들 수 있어 스위치가 오동작 할 수 있음,NA,BMW,2014-04-11
비엠더블유코리아,F800GS,13.02.18,13.05.31,사이드 스탠드 스위치의 체결 부위에 물이 스며들 수 있어 스위치가 오동작 할 수 있음,NA,BMW,2014-04-11
비엠더블유코리아,F800GT,12.11.28,13.09.09,사이드 스탠드 스위치의 체결 부위에 물이 스며들 수 있어 스위치가 오동작 할 수 있음,NA,BMW,2014-04-11
비엠더블유코리아,F800GSADV,13.04.11,13.09.09,사이드 스탠드 스위치의 체결 부위에 물이 스며들 수 있어 스위치가 오동작 할 수 있음,NA,BMW,2014-04-11
비엠더블유코리아,C600S,12.3.23,13.4.12,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,C650GT,12.3.30,13.6.14,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,F800R,09.6.2,13.6.18,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,R1200RT,09.12.11,13.5.27,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,S1000RR,09.11.10,13.6.24,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,K1300S,09.2.9,13.6.,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,K1300R,09.1.30,13.7.19,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,K1300GT,09.1.28,10.9.1,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,K1600GT,11.11.1,13.6.13,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,K1600GTL,11.3.7,13.6.14,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,R1200GS,12.11.15,13.6.25,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,F700GS,12.6.29,13.5.3,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,F800GS,12.6.26,12.6.26,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,F800GT,12.11.14,13.5.8,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,800GSADV,13.4.11,13.6.26,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,HP4,12.9.24,13.7.15,열과 습도로 인해 다기능 스위치의 내부 회로 또는 구조적 품질 문제로 인해 스의치의 기능이 정상 작동하지 않을 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,R1200GS,04.5.24,11.3.18,플라스틱 구조의 연료펌프 테두리가 노후화 되어 작은 응력균열이 발생 할 수 있으며 점점 커질 경우 휘발유 냄새를 동반한 미량의 휘발유가 새어 나 올 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,R1200GSHP2Magamoto,08.2.4,08.11.18,플라스틱 구조의 연료펌프 테두리가 노후화 되어 작은 응력균열이 발생 할 수 있으며 점점 커질 경우 휘발유 냄새를 동반한 미량의 휘발유가 새어 나 올 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,R1200GSHPEnduro,05.10.17,06.6.,플라스틱 구조의 연료펌프 테두리가 노후화 되어 작은 응력균열이 발생 할 수 있으며 점점 커질 경우 휘발유 냄새를 동반한 미량의 휘발유가 새어 나 올 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,HP2Sport,08.2.4,10.5.12,플라스틱 구조의 연료펌프 테두리가 노후화 되어 작은 응력균열이 발생 할 수 있으며 점점 커질 경우 휘발유 냄새를 동반한 미량의 휘발유가 새어 나 올 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,R1200GSADV,06.2.,11.3.24,플라스틱 구조의 연료펌프 테두리가 노후화 되어 작은 응력균열이 발생 할 수 있으며 점점 커질 경우 휘발유 냄새를 동반한 미량의 휘발유가 새어 나 올 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,R1200R,06.8.16,11.4.11,플라스틱 구조의 연료펌프 테두리가 노후화 되어 작은 응력균열이 발생 할 수 있으며 점점 커질 경우 휘발유 냄새를 동반한 미량의 휘발유가 새어 나 올 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,R1200RT,05.1.17,11.4.14,플라스틱 구조의 연료펌프 테두리가 노후화 되어 작은 응력균열이 발생 할 수 있으며 점점 커질 경우 휘발유 냄새를 동반한 미량의 휘발유가 새어 나 올 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,R1200ST,05.1.3,05.3.21,플라스틱 구조의 연료펌프 테두리가 노후화 되어 작은 응력균열이 발생 할 수 있으며 점점 커질 경우 휘발유 냄새를 동반한 미량의 휘발유가 새어 나 올 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,R1200S,06.3.6,06.6.5,플라스틱 구조의 연료펌프 테두리가 노후화 되어 작은 응력균열이 발생 할 수 있으며 점점 커질 경우 휘발유 냄새를 동반한 미량의 휘발유가 새어 나 올 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,K1200S,04.10.4,08.5.8,플라스틱 구조의 연료펌프 테두리가 노후화 되어 작은 응력균열이 발생 할 수 있으며 점점 커질 경우 휘발유 냄새를 동반한 미량의 휘발유가 새어 나 올 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,S1000RR,09.11.10,11.3.25,플라스틱 구조의 연료펌프 테두리가 노후화 되어 작은 응력균열이 발생 할 수 있으며 점점 커질 경우 휘발유 냄새를 동반한 미량의 휘발유가 새어 나 올 수 있음,NA,BMW,2014-06-05
비엠더블유코리아,K1300S,08.10.31,11.2.11,플라스틱 구조의 연료펌프 테두리가 노후화 되어 작은 응력균열이 발생 할 수 있으며 점점 커질 경우 휘발유 냄새를 동반한 미량의 휘발유가 새어 나 올 수 있음,NA,BMW,2014-06-05
